dominant_best_split_partition,count,fraction
BAS+RESP|EKG+EMG,5785,0.9996543977881458
BAS+EKG|RESP+EMG,1,0.00017280110592707794
BAS+EMG|RESP+EKG,1,0.00017280110592707794
